n_packs,n_bins,cost,run_time
7,3,250.0,0.027932056333333333
10,10,51.0,0.04931339266666667
11,11,79.0,0.05394377933333333
12,12,54.0,0.05786893133333334
13,13,103.0,0.10919107466666667
14,14,50.0,0.21895238800000003
15,15,106.0,0.5131340123333333
16,16,113.0,0.9051381113333333
17,17,105.0,117.02297753266667
18,18,118.0,300.013457975
19,19,106.0,5.214479065666667
20,20,171.0,2.519827466
21,21,108.0,8.500796449333334
22,22,156.0,300.01688315033334
23,23,116.0,300.011636516
24,24,158.0,300.01487928200004
25,25,204.0,300.01794735133336
26,26,158.0,300.020726973
27,27,158.0,300.01893653766666
28,28,158.0,300.01964834666666
29,29,174.33333333333334,300.01874497100005
30,30,181.66666666666666,300.01734331433335
31,31,215.0,300.02532462733336
32,32,171.0,300.01765232266666
33,33,165.0,300.020176801
34,34,165.0,300.0260553163334
35,35,215.33333333333334,300.019675878
36,36,299.0,300.02965912266666
37,37,163.0,300.022282917
38,38,252.0,300.02182260266665
39,39,229.0,300.0224620783334
40,40,263.0,300.02663927233334
41,41,226.0,300.02719696900004
42,42,367.0,300.02705393700006
43,43,237.0,300.0364837116667
44,44,296.3333333333333,300.0313212726667
45,45,220.0,300.02708086333337
46,46,272.0,300.03067477900004
47,47,319.0,300.0306517563333
48,48,269.0,300.0316953806667
49,49,273.0,300.0297330366667
50,50,291.6666666666667,300.0346591326667
51,51,328.0,300.0348324856667
52,52,335.0,300.03708990900003
53,53,382.0,300.03536044699996
54,54,260.0,300.0374483366667
90,90,573.0,300.0979588333334
120,120,776.3333333333334,300.1965073833334
150,150,1301.3333333333333,300.35450311466667
180,180,1825.0,300.7002796206667
210,210,2731.0,300.778857164
240,240,1941.6666666666667,301.0924355783333
