n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,250.0,OPTIMAL,0.027860134,0.29,300,
10,10,1,51.0,OPTIMAL,0.04472446,0.34,300,
11,11,1,79.0,OPTIMAL,0.050273194,0.35,300,
12,12,1,54.0,OPTIMAL,0.054985013000000006,0.37,300,
13,13,2,103.0,OPTIMAL,0.10873898800000001,0.44,300,
14,14,1,50.0,OPTIMAL,0.22042217500000003,0.57,300,
15,15,2,106.0,OPTIMAL,0.502743856,0.84,300,
16,16,2,113.0,OPTIMAL,0.8712155960000001,1.23,300,
17,17,2,105.0,OPTIMAL,178.578538197,178.95,300,
18,18,2,118.0,FEASIBLE,300.01272290500003,300.41,300,
19,19,2,106.0,OPTIMAL,4.309819428,4.77,300,
20,20,3,171.0,OPTIMAL,2.4770407490000004,2.91,300,
21,21,2,108.0,OPTIMAL,8.089908003,8.55,300,
22,22,3,156.0,FEASIBLE,300.013565369,300.49,300,
23,23,2,116.0,FEASIBLE,300.00969343900005,300.70,300,
24,24,2,158.0,FEASIBLE,300.012219936,300.56,300,
25,25,3,204.0,FEASIBLE,300.014892119,300.58,300,
26,26,3,158.0,FEASIBLE,300.01872337400005,300.60,300,
27,27,3,158.0,FEASIBLE,300.016135543,300.69,300,
28,28,3,158.0,FEASIBLE,300.01804950800005,300.67,300,
29,29,3,167.0,FEASIBLE,300.01718003300005,300.72,300,
30,30,3,181.0,FEASIBLE,300.01607359300004,300.76,300,
31,31,4,215.0,FEASIBLE,300.024490486,300.79,300,
32,32,3,171.0,FEASIBLE,300.016616698,300.80,300,
33,33,3,165.0,FEASIBLE,300.016487905,300.88,300,
34,34,3,165.0,FEASIBLE,300.02006841400004,300.90,300,
35,35,4,213.0,FEASIBLE,300.01815072700003,300.94,300,
36,36,5,299.0,FEASIBLE,300.022308338,300.98,300,
37,37,3,163.0,FEASIBLE,300.019239454,301.02,300,
38,38,4,252.0,FEASIBLE,300.020150457,301.10,300,
39,39,4,229.0,FEASIBLE,300.01953863800003,301.14,300,
40,40,5,263.0,FEASIBLE,300.02264648,301.21,300,
41,41,4,225.0,FEASIBLE,300.022915934,301.24,300,
42,42,6,367.0,FEASIBLE,300.028789742,301.36,300,
43,43,4,237.0,FEASIBLE,300.032796898,301.40,300,
44,44,5,304.0,FEASIBLE,300.02673137200003,301.44,300,
45,45,4,220.0,FEASIBLE,300.024580533,301.56,300,
46,46,5,272.0,FEASIBLE,300.030846304,301.62,300,
47,47,6,322.0,FEASIBLE,300.029297428,301.67,300,
48,48,5,269.0,FEASIBLE,300.026863389,301.73,300,
49,49,5,273.0,FEASIBLE,300.02705361100004,301.83,300,
50,50,5,293.0,FEASIBLE,300.02864466,301.90,300,
51,51,6,328.0,FEASIBLE,300.03010443100004,302.02,300,
52,52,6,330.0,FEASIBLE,300.031638294,302.06,300,
53,53,6,382.0,FEASIBLE,300.03205551,302.20,300,
54,54,5,260.0,FEASIBLE,300.03501824200004,302.25,300,
90,90,10,585.0,FEASIBLE,300.09002354800003,308.15,300,
120,120,14,769.0,FEASIBLE,300.18335143400003,317.44,300,
150,150,23,1281.0,FEASIBLE,300.331026677,332.90,300,
180,180,31,1810.0,FEASIBLE,300.510508832,364.01,300,
210,210,41,2595.0,FEASIBLE,300.720277795,386.99,300,
240,240,26,1861.0,FEASIBLE,301.005245161,435.12,300,
270,270,,,NO SOLUTION FOUND,,287.72,300,
300,300,,,NO SOLUTION FOUND,,282.07,300,
330,330,,,NO SOLUTION FOUND,,323.99,300,
360,360,,,NO SOLUTION FOUND,,425.31,300,
550,550,,,NO SOLUTION FOUND,,1007.21,300,
600,600,,,NO SOLUTION FOUND,,1003.65,300,
