n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,250.0,OPTIMAL,0.027431731,0.31,300,
10,10,1,51.0,OPTIMAL,0.05587748,0.40,300,
11,11,1,79.0,OPTIMAL,0.053634779,0.41,300,
12,12,1,54.0,OPTIMAL,0.060616921000000004,0.49,300,
13,13,2,103.0,OPTIMAL,0.10982498600000001,0.49,300,
14,14,1,50.0,OPTIMAL,0.21249964300000002,0.57,300,
15,15,2,106.0,OPTIMAL,0.531718859,0.96,300,
16,16,2,113.0,OPTIMAL,0.9178186970000001,1.30,300,
17,17,2,105.0,OPTIMAL,96.538747998, 96.87,300,
18,18,2,118.0,FEASIBLE,300.013042821,300.44,300,
19,19,2,106.0,OPTIMAL,4.644248114000001,5.23,300,
20,20,3,171.0,OPTIMAL,2.516771074,3.01,300,
21,21,2,108.0,OPTIMAL,8.811960519000001,9.29,300,
22,22,3,156.0,FEASIBLE,300.016429408,300.50,300,
23,23,2,116.0,FEASIBLE,300.013910477,300.54,300,
24,24,2,158.0,FEASIBLE,300.015983657,300.58,300,
25,25,3,204.0,FEASIBLE,300.023317212,300.62,300,
26,26,3,158.0,FEASIBLE,300.024613209,300.69,300,
27,27,3,158.0,FEASIBLE,300.023390283,300.72,300,
28,28,3,158.0,FEASIBLE,300.023297618,300.73,300,
29,29,3,178.0,FEASIBLE,300.021044408,300.75,300,
30,30,3,182.0,FEASIBLE,300.018609341,300.83,300,
31,31,4,215.0,FEASIBLE,300.028149214,300.82,300,
32,32,3,171.0,FEASIBLE,300.017760344,300.88,300,
33,33,3,165.0,FEASIBLE,300.022539516,301.00,300,
34,34,3,165.0,FEASIBLE,300.035238423,301.02,300,
35,35,4,220.0,FEASIBLE,300.019854263,301.05,300,
36,36,5,299.0,FEASIBLE,300.035972989,301.11,300,
37,37,3,163.0,FEASIBLE,300.025623925,301.16,300,
38,38,4,252.0,FEASIBLE,300.023635581,301.17,300,
39,39,4,229.0,FEASIBLE,300.02579114400004,301.20,300,
40,40,5,263.0,FEASIBLE,300.032867859,301.28,300,
41,41,4,228.0,FEASIBLE,300.034005003,301.38,300,
42,42,6,367.0,FEASIBLE,300.027591283,301.50,300,
43,43,4,237.0,FEASIBLE,300.05107277400003,301.51,300,
44,44,5,302.0,FEASIBLE,300.028567054,301.58,300,
45,45,4,220.0,FEASIBLE,300.028816962,301.63,300,
46,46,5,272.0,FEASIBLE,300.035184499,301.71,300,
47,47,6,322.0,FEASIBLE,300.031871803,301.81,300,
48,48,5,269.0,FEASIBLE,300.03795498700003,301.86,300,
49,49,5,273.0,FEASIBLE,300.031462066,301.92,300,
50,50,5,291.0,FEASIBLE,300.03419610400005,302.00,300,
51,51,6,328.0,FEASIBLE,300.04150536000003,302.17,300,
52,52,6,330.0,FEASIBLE,300.04575106100003,302.32,300,
53,53,6,382.0,FEASIBLE,300.039148264,302.35,300,
54,54,5,260.0,FEASIBLE,300.042272437,302.40,300,
90,90,10,567.0,FEASIBLE,300.10144230000003,309.09,300,
120,120,13,800.0,FEASIBLE,300.21678292300004,318.17,300,
150,150,21,1169.0,FEASIBLE,300.401732475,335.10,300,
180,180,31,1847.0,FEASIBLE,301.06658849300004,358.07,300,
210,210,41,2828.0,FEASIBLE,300.846157129,399.16,300,
240,240,28,1992.0,FEASIBLE,301.211445271,431.38,300,
270,270,,,NO SOLUTION FOUND,,339.07,300,
300,300,,,NO SOLUTION FOUND,,311.64,300,
330,330,,,NO SOLUTION FOUND,,351.41,300,
360,360,,,NO SOLUTION FOUND,,471.89,300,
550,550,,,NO SOLUTION FOUND,,1051.75,300,
600,600,,,NO SOLUTION FOUND,,1046.39,300,
