n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,250.0,OPTIMAL,0.028508232,0.34,300,
10,10,1,51.0,OPTIMAL,0.076056433,0.39,300,
11,11,1,79.0,OPTIMAL,0.167398544,0.50,300,
12,12,1,54.0,OPTIMAL,0.093453585,0.43,300,
13,13,2,103.0,OPTIMAL,0.272370406,0.62,300,
14,14,1,50.0,OPTIMAL,0.16683963300000001,0.53,300,
15,15,2,106.0,OPTIMAL,0.926976263,1.31,300,
16,16,2,113.0,OPTIMAL,0.48002516100000003,0.89,300,
17,17,2,105.0,OPTIMAL,54.91817206,55.33,300,
18,18,2,118.0,FEASIBLE,300.011582958,300.46,300,
19,19,2,106.0,OPTIMAL,5.106621613000001,5.57,300,
20,20,3,171.0,OPTIMAL,3.1806282070000003,3.68,300,
21,21,2,108.0,OPTIMAL,14.829966806000002,15.36,300,
22,22,3,156.0,FEASIBLE,300.01684644600005,300.58,300,
23,23,2,116.0,FEASIBLE,300.01404063200005,300.66,300,
24,24,3,160.0,FEASIBLE,300.016505551,300.64,300,
25,25,4,217.0,FEASIBLE,300.018530025,300.66,300,
26,26,3,158.0,FEASIBLE,300.020779692,300.79,300,
27,27,3,158.0,FEASIBLE,300.018447853,300.72,300,
28,28,3,158.0,FEASIBLE,300.020592232,300.76,300,
29,29,3,178.0,FEASIBLE,300.020222424,300.83,300,
30,30,3,181.0,FEASIBLE,300.01952969,300.85,300,
31,31,4,215.0,FEASIBLE,300.024382847,300.89,300,
32,32,3,171.0,FEASIBLE,300.020876771,300.96,300,
33,33,3,165.0,FEASIBLE,300.02251472,301.00,300,
34,34,3,165.0,FEASIBLE,300.025592667,301.09,300,
35,35,4,220.0,FEASIBLE,300.026266123,301.11,300,
36,36,5,299.0,FEASIBLE,300.02748406700005,301.15,300,
37,37,3,163.0,FEASIBLE,300.02291733600003,301.21,300,
38,38,4,252.0,FEASIBLE,300.02521696,301.25,300,
39,39,4,229.0,FEASIBLE,300.026919037,301.35,300,
40,40,5,263.0,FEASIBLE,300.038216931,301.41,300,
41,41,4,225.0,FEASIBLE,300.027542659,301.47,300,
42,42,6,375.0,FEASIBLE,300.029566402,301.54,300,
43,43,5,279.0,FEASIBLE,300.02776812900004,301.62,300,
44,44,5,292.0,FEASIBLE,300.032257516,301.67,300,
45,45,4,220.0,FEASIBLE,300.033060716,301.76,300,
46,46,5,291.0,FEASIBLE,300.04085877200004,301.87,300,
47,47,6,322.0,FEASIBLE,300.034720556,302.01,300,
48,48,5,269.0,FEASIBLE,300.037884388,302.06,300,
49,49,5,273.0,FEASIBLE,300.038220231,302.15,300,
50,50,5,290.0,FEASIBLE,300.042552708,302.35,300,
51,51,6,328.0,FEASIBLE,300.038963109,302.32,300,
52,52,6,334.0,FEASIBLE,300.050017282,302.43,300,
53,53,6,376.0,FEASIBLE,300.04307875,302.60,300,
54,54,5,260.0,FEASIBLE,300.043147502,302.64,300,
90,90,10,570.0,FEASIBLE,300.117054495,308.97,300,
120,120,14,784.0,FEASIBLE,300.217110763,319.42,300,
150,150,16,994.0,FEASIBLE,300.694172573,337.13,300,
180,180,29,1787.0,FEASIBLE,300.64357832800005,367.18,300,
210,210,35,2575.0,FEASIBLE,300.817269731,390.93,300,
240,240,36,2417.0,FEASIBLE,301.11883797300004,439.83,300,
270,270,,,NO SOLUTION FOUND,,301.03,300,
300,300,,,NO SOLUTION FOUND,,298.07,300,
330,330,,,NO SOLUTION FOUND,,333.97,300,
360,360,,,NO SOLUTION FOUND,,454.21,300,
550,550,,,NO SOLUTION FOUND,,1019.34,300,
600,600,,,NO SOLUTION FOUND,,1022.03,300,
