n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,250.0,OPTIMAL,0.029822312,0.33,300,
10,10,1,51.0,OPTIMAL,0.10173994500000001,0.45,300,
11,11,1,79.0,OPTIMAL,0.274084333,0.62,300,
12,12,1,54.0,OPTIMAL,0.08219187400000001,0.34,300,
13,13,2,103.0,OPTIMAL,0.21557097,0.45,300,
14,14,1,50.0,OPTIMAL,0.14450073600000002,0.41,300,
15,15,2,106.0,OPTIMAL,0.750480019,1.02,300,
16,16,2,113.0,OPTIMAL,0.38175863800000004,0.67,300,
17,17,2,105.0,OPTIMAL,37.047195321000004,37.35,300,
18,18,2,118.0,FEASIBLE,300.006939461,300.32,300,
19,19,2,106.0,OPTIMAL,3.651687534,3.98,300,
20,20,3,171.0,OPTIMAL,2.2161130410000003,2.57,300,
21,21,2,108.0,OPTIMAL,10.103906702000002,10.49,300,
22,22,3,156.0,FEASIBLE,300.013970507,300.43,300,
23,23,2,116.0,FEASIBLE,300.008425713,300.53,300,
24,24,2,158.0,FEASIBLE,300.01436085700004,300.49,300,
25,25,4,217.0,FEASIBLE,300.012356474,300.56,300,
26,26,3,158.0,FEASIBLE,300.016092018,300.57,300,
27,27,3,158.0,FEASIBLE,300.015443898,300.58,300,
28,28,3,158.0,FEASIBLE,300.014572483,300.64,300,
29,29,3,178.0,FEASIBLE,300.014611666,300.67,300,
30,30,3,181.0,FEASIBLE,300.01462985,300.70,300,
31,31,4,215.0,FEASIBLE,300.01922196600003,300.74,300,
32,32,3,171.0,FEASIBLE,300.014538185,300.79,300,
33,33,3,165.0,FEASIBLE,300.017970271,300.82,300,
34,34,3,165.0,FEASIBLE,300.01850331500003,300.87,300,
35,35,4,220.0,FEASIBLE,300.019362589,300.93,300,
36,36,5,299.0,FEASIBLE,300.02170265200004,300.96,300,
37,37,3,163.0,FEASIBLE,300.02066019,301.02,300,
38,38,4,252.0,FEASIBLE,300.02110174,301.11,300,
39,39,4,229.0,FEASIBLE,300.020027565,301.16,300,
40,40,5,263.0,FEASIBLE,300.022254055,301.23,300,
41,41,4,225.0,FEASIBLE,300.02158015500004,301.28,300,
42,42,6,375.0,FEASIBLE,300.02641231,301.36,300,
43,43,5,279.0,FEASIBLE,300.023601432,301.39,300,
44,44,4,283.0,FEASIBLE,300.02654083100003,301.50,300,
45,45,4,220.0,FEASIBLE,300.025920961,301.55,300,
46,46,5,274.0,FEASIBLE,300.024724107,301.62,300,
47,47,6,322.0,FEASIBLE,300.027640462,301.72,300,
48,48,5,269.0,FEASIBLE,300.029258315,301.80,300,
49,49,5,273.0,FEASIBLE,300.02993145100004,301.87,300,
50,50,5,290.0,FEASIBLE,300.02943713,301.93,300,
51,51,7,391.0,FEASIBLE,300.03385648100004,302.06,300,
52,52,6,330.0,FEASIBLE,300.034379506,302.16,300,
53,53,6,384.0,FEASIBLE,300.03493749700004,302.24,300,
54,54,5,260.0,FEASIBLE,300.03255792100003,302.34,300,
90,90,10,565.0,FEASIBLE,300.09581798,308.23,300,
120,120,14,744.0,FEASIBLE,300.186277023,318.12,300,
150,150,15,856.0,FEASIBLE,300.327658897,332.84,300,
180,180,21,1314.0,FEASIBLE,300.50105215900004,354.50,300,
210,210,34,2270.0,FEASIBLE,300.72198688500004,392.65,300,
240,240,32,2074.0,FEASIBLE,301.041723489,422.14,300,
270,270,,,NO SOLUTION FOUND,,272.68,300,
300,300,,,NO SOLUTION FOUND,,277.06,300,
330,330,,,NO SOLUTION FOUND,,309.93,300,
360,360,,,NO SOLUTION FOUND,,2541.27,300,
550,550,,,NO SOLUTION FOUND,,926.91,300,
600,600,,,NO SOLUTION FOUND,,921.60,300,
