n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,300,None,2.7000000045518390834e-05,0.00,None,
10,10,1,51,None,3.7999998312443494797e-05,0.00,None,
11,11,1,79,None,5.4000000091036781669e-05,0.00,None,
12,12,1,54,None,4.8999998398358002305e-05,0.00,None,
13,13,2,145,None,4.7000001359265297651e-05,0.00,None,
14,14,1,55,None,4.9999998736893758178e-05,0.00,None,
15,15,2,106,None,4.300000000512227416e-05,0.00,None,
16,16,2,130,None,5.5000000429572537541e-05,0.00,None,
17,17,2,105,None,7.5000003562308847904e-05,0.00,None,
18,18,2,121,None,0.00011800000356743112206,0.00,None,
19,19,2,129,None,6.5000000176951289177e-05,0.00,None,
20,20,3,188,None,5.9999998484272509813e-05,0.00,None,
21,21,2,120,None,7.8999997640494257212e-05,0.00,None,
22,22,3,171,None,9.300000237999483943e-05,0.00,None,
23,23,2,147,None,7.5999996624886989594e-05,0.00,None,
24,24,3,181,None,7.5999996624886989594e-05,0.00,None,
25,25,4,237,None,7.6999996963422745466e-05,0.00,None,
26,26,3,161,None,7.5999996624886989594e-05,0.00,None,
27,27,3,180,None,7.5999996624886989594e-05,0.00,None,
28,28,3,158,None,8.4999999671708792448e-05,0.00,None,
29,29,3,186,None,8.3999999333173036575e-05,0.00,None,
30,30,3,182,None,8.8000000687316060066e-05,0.00,None,
31,31,4,215,None,0.00011200000153621658683,0.00,None,
32,32,3,187,None,0.00010900000052060931921,0.00,None,
33,33,3,178,None,9.4000002718530595303e-05,0.00,None,
34,34,3,182,None,0.00010299999848939478397,0.00,None,
35,35,4,237,None,0.00011000000085914507508,0.00,None,
36,36,5,345,None,0.00016199999663513153791,0.00,None,
37,37,3,163,None,9.9999997473787516356e-05,0.00,None,
38,38,4,260,None,0.00010900000052060931921,0.00,None,
39,39,4,229,None,0.00010299999848939478397,0.00,None,
40,40,4,236,None,0.00011800000356743112206,0.00,None,
41,41,4,251,None,0.00011800000356743112206,0.00,None,
42,42,7,412,None,0.00011800000356743112206,0.00,None,
43,43,4,243,None,0.00012199999764561653137,0.00,None,
44,44,5,356,None,0.00015999999595806002617,0.00,None,
45,45,4,239,None,0.00014899999951012432575,0.00,None,
46,46,5,301,None,0.00018200000340584665537,0.00,None,
47,47,5,284,None,0.00019599999359343200922,0.00,None,
48,48,5,287,None,0.00015199999324977397919,0.00,None,
49,49,5,275,None,0.00014000000373926013708,0.00,None,
50,50,5,314,None,0.00015300000086426734924,0.00,None,
51,51,5,291,None,0.00013800000306218862534,0.00,None,
52,52,6,358,None,0.00015500000154133886099,0.00,None,
53,53,6,404,None,0.00014600000577047467232,0.00,None,
54,54,5,278,None,0.00015199999324977397919,0.00,None,
90,90,10,591,None,0.0002640000020619481802,0.00,None,
120,120,13,701,None,0.0003420000139158219099,0.00,None,
150,150,14,770,None,0.00066000001970678567886,0.00,None,
180,180,17,965,None,0.00063600001158192753792,0.00,None,
210,210,19,1098,None,0.0003929999948013573885,0.00,None,
240,240,20,1161,None,0.00049300002865493297577,0.00,None,
270,270,23,1243,None,0.00061300001107156276703,0.00,None,
300,300,30,1817,None,0.00076899997657164931297,0.00,None,
330,330,33,1942,None,0.00085800001397728919983,0.00,None,
360,360,34,2052,None,0.0010629999451339244843,0.00,None,
550,550,48,2841,None,0.0019630000460892915726,0.00,None,
600,600,61,3633,None,0.002564999973401427269,0.00,None,
650,650,64,3775,None,0.0026259999722242355347,0.00,None,
700,700,67,3835,None,0.0028349999338388442993,0.00,None,
750,750,69,4017,None,0.0036259999033063650131,0.00,None,
800,800,76,4489,None,0.0035830000415444374084,0.00,None,
850,850,76,4503,None,0.0043420000001788139343,0.00,None,
900,900,78,4625,None,0.0050470000132918357849,0.00,None,
950,950,89,5308,None,0.0054799998179078102112,0.00,None,
10000,10000,922,53952,None,0.44120499491691589355,0.44,None,
1000,1000,94,5579,None,0.0055080000311136245728,0.00,None,
2000,2000,188,11217,None,0.021108999848365783691,0.02,None,
3000,3000,273,16019,None,0.042663998901844024658,0.04,None,
4000,4000,371,21701,None,0.075871996581554412842,0.07,None,
5000,5000,465,27568,None,0.11972499638795852661,0.12,None,
6000,6000,556,32746,None,0.19138599932193756104,0.19,None,
7000,7000,653,38368,None,0.24810899794101715088,0.25,None,
8000,8000,740,43364,None,0.29937401413917541504,0.30,None,
9000,9000,839,49632,None,0.38104298710823059082,0.38,None,
