n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,300,None,3.1999999919207766652e-05,0.00,None,
10,10,1,51,None,3.6000001273350790143e-05,0.00,None,
11,11,1,79,None,3.6000001273350790143e-05,0.00,None,
12,12,1,54,None,4.1999999666586518288e-05,0.00,None,
13,13,2,145,None,3.8999998650979250669e-05,0.00,None,
14,14,1,55,None,5.9000001783715561032e-05,0.00,None,
15,15,2,106,None,4.6000001020729541779e-05,0.00,None,
16,16,2,130,None,5.099999907542951405e-05,0.00,None,
17,17,2,105,None,4.9999998736893758178e-05,0.00,None,
18,18,2,121,None,6.1999999161344021559e-05,0.00,None,
19,19,2,129,None,6.0999998822808265686e-05,0.00,None,
20,20,3,188,None,5.4000000091036781669e-05,0.00,None,
21,21,2,120,None,5.9999998484272509813e-05,0.00,None,
22,22,3,171,None,5.800000144517980516e-05,0.00,None,
23,23,2,147,None,6.2999999499879777431e-05,0.00,None,
24,24,3,181,None,6.8000001192558556795e-05,0.00,None,
25,25,4,237,None,6.9000001531094312668e-05,0.00,None,
26,26,3,161,None,6.9000001531094312668e-05,0.00,None,
27,27,3,180,None,6.9000001531094312668e-05,0.00,None,
28,28,3,158,None,7.5999996624886989594e-05,0.00,None,
29,29,3,186,None,7.0000001869630068541e-05,0.00,None,
30,30,3,182,None,8.0999998317565768957e-05,0.00,None,
31,31,4,215,None,9.6999996458180248737e-05,0.00,None,
32,32,3,187,None,0.00010599999950500205159,0.00,None,
33,33,3,178,None,0.00011899999663000926375,0.00,None,
34,34,3,182,None,9.4000002718530595303e-05,0.00,None,
35,35,4,237,None,9.8999997135251760483e-05,0.00,None,
36,36,5,345,None,9.9999997473787516356e-05,0.00,None,
37,37,3,163,None,9.300000237999483943e-05,0.00,None,
38,38,4,260,None,9.799999679671600461e-05,0.00,None,
39,39,4,229,None,9.300000237999483943e-05,0.00,None,
40,40,4,236,None,9.799999679671600461e-05,0.00,None,
41,41,4,251,None,0.00012599999899975955486,0.00,None,
42,42,7,412,None,0.00011000000085914507508,0.00,None,
43,43,4,243,None,0.00010699999984353780746,0.00,None,
44,44,5,356,None,0.00013299999409355223179,0.00,None,
45,45,4,239,None,0.00011700000322889536619,0.00,None,
46,46,5,301,None,0.00011500000255182385445,0.00,None,
47,47,5,284,None,0.0001289999927394092083,0.00,None,
48,48,5,287,None,0.00012199999764561653137,0.00,None,
49,49,5,275,None,0.00013499999477062374353,0.00,None,
50,50,5,314,None,0.00012300000526010990143,0.00,None,
51,51,5,291,None,0.00016500000492669641972,0.00,None,
52,52,6,358,None,0.0001320000010309740901,0.00,None,
53,53,6,404,None,0.0001289999927394092083,0.00,None,
54,54,5,278,None,0.00013099999341648072004,0.00,None,
90,90,10,591,None,0.00023400000645779073238,0.00,None,
120,120,13,701,None,0.00034100000630132853985,0.00,None,
150,150,14,770,None,0.00041999999666586518288,0.00,None,
180,180,17,965,None,0.00059700000565499067307,0.00,None,
210,210,19,1098,None,0.00066000001970678567886,0.00,None,
240,240,20,1161,None,0.00077799998689442873001,0.00,None,
270,270,23,1243,None,0.00098600005730986595154,0.00,None,
300,300,30,1817,None,0.0011739999754354357719,0.00,None,
330,330,33,1942,None,0.0013340000296011567116,0.00,None,
360,360,34,2052,None,0.0014979999978095293045,0.00,None,
550,550,48,2841,None,0.0029190001077950000763,0.00,None,
600,600,61,3633,None,0.0042510000057518482208,0.00,None,
650,650,64,3775,None,0.0046979999169707298279,0.00,None,
700,700,67,3835,None,0.0047709997743368148804,0.00,None,
750,750,69,4017,None,0.0053559998050332069397,0.00,None,
800,800,76,4489,None,0.0065219998359680175781,0.00,None,
850,850,76,4503,None,0.0078480001538991928101,0.01,None,
900,900,78,4625,None,0.0077749998308718204498,0.01,None,
950,950,89,5308,None,0.0090650003403425216675,0.01,None,
10000,10000,922,53952,None,0.75242000818252563477,0.75,None,
1000,1000,94,5579,None,0.010835999622941017151,0.01,None,
2000,2000,188,11217,None,0.034395001828670501709,0.03,None,
3000,3000,273,16019,None,0.070757001638412475586,0.07,None,
4000,4000,371,21701,None,0.12651400268077850342,0.13,None,
5000,5000,465,27568,None,0.13076199591159820557,0.13,None,
6000,6000,556,32746,None,0.17986999452114105225,0.18,None,
7000,7000,653,38368,None,0.21986399590969085693,0.22,None,
8000,8000,740,43364,None,0.29380500316619873047,0.29,None,
9000,9000,839,49632,None,0.35065400600433349609,0.35,None,
