n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,250.0,OPTIMAL,3.612,3.73,300,
10,10,1,51.0,OPTIMAL,2.592,2.80,300,
11,11,1,79.0,OPTIMAL,12.983,13.13,300,
12,12,1,54.0,OPTIMAL,7.636,7.78,300,
13,13,2,103.0,FEASIBLE,300.247,300.46,300,
14,14,1,50.0,OPTIMAL,26.626,26.81,300,
15,15,2,106.0,FEASIBLE,300.425,300.69,300,
16,16,2,112.99999999999999,FEASIBLE,300.457,300.78,300,
17,17,2,105.0,FEASIBLE,300.561,300.89,300,
18,18,2,121.0,FEASIBLE,300.689,301.07,300,
19,19,2,106.0,FEASIBLE,300.817,301.23,300,
20,20,7,465.99999999999994,FEASIBLE,300.913,301.32,300,
21,21,3,210.0,FEASIBLE,301.126,301.56,300,
22,22,10,623.0,FEASIBLE,301.213,301.68,300,
23,23,14,1108.0,FEASIBLE,301.402,301.89,300,
24,24,5,356.0,FEASIBLE,301.579,302.16,300,
25,25,22,1601.0,FEASIBLE,301.8,302.38,300,
26,26,9,622.0,FEASIBLE,302.066,302.81,300,
27,27,,,NO SOLUTION FOUND,,303.25,300,
28,28,16,1190.0,FEASIBLE,304.571,305.34,300,
29,29,18,1415.0,FEASIBLE,304.478,305.30,300,
30,30,29,2144.0,FEASIBLE,303.682,304.58,300,
31,31,30,2249.0,FEASIBLE,303.942,304.93,300,
32,32,17,1224.0,FEASIBLE,307.192,308.28,300,
33,33,20,1429.0,FEASIBLE,306.164,307.36,300,
34,34,11,803.0,FEASIBLE,307.915,309.19,300,
35,35,22,1723.0,FEASIBLE,314.297,315.65,300,
36,36,36,2795.0,FEASIBLE,307.93,309.29,300,
37,37,23,1750.0,FEASIBLE,306.431,308.06,300,
38,38,15,1193.0,FEASIBLE,306.761,308.50,300,
39,39,38,2895.0,FEASIBLE,306.643,308.38,300,
40,40,39,2964.0,FEASIBLE,323.753,325.63,300,
41,41,17,1304.0,FEASIBLE,310.263,312.61,300,
42,42,41,3115.0,FEASIBLE,327.115,329.33,300,
43,43,42,3178.0,FEASIBLE,309.76,312.26,300,
44,44,26,2030.0,FEASIBLE,318.53,321.26,300,
45,45,,,NO SOLUTION FOUND,,314.07,300,
46,46,,,NO SOLUTION FOUND,,315.45,300,
47,47,,,NO SOLUTION FOUND,,313.45,300,
48,48,,,NO SOLUTION FOUND,,315.92,300,
49,49,,,NO SOLUTION FOUND,,318.34,300,
50,50,,,NO SOLUTION FOUND,,319.56,300,
51,51,,,NO SOLUTION FOUND,,319.69,300,
52,52,,,NO SOLUTION FOUND,,321.17,300,
53,53,,,NO SOLUTION FOUND,,322.19,300,
54,54,,,NO SOLUTION FOUND,,323.78,300,
90,90,,,NO SOLUTION FOUND,,135.25,300,
120,120,,,NO SOLUTION FOUND,,193.29,300,
150,150,,,NO SOLUTION FOUND,,361.00,300,
180,180,,,NO SOLUTION FOUND,,610.13,300,
210,210,,,NO SOLUTION FOUND,,841.46,300,
240,240,,,NO SOLUTION FOUND,,833.25,300,
270,270,,,NO SOLUTION FOUND,,846.43,300,
300,300,,,NO SOLUTION FOUND,,831.76,300,
330,330,,,NO SOLUTION FOUND,,826.75,300,
360,360,,,NO SOLUTION FOUND,,840.04,300,
550,550,,,NO SOLUTION FOUND,,846.55,300,
600,600,,,NO SOLUTION FOUND,,843.04,300,
