n_packs, n_bins, n_bins_used, cost, status, solver_running_time, real_running_time, time_limit_for_solver,
7,3,2,250.0,OPTIMAL,3.61,3.81,300,
10,10,1,51.0,OPTIMAL,2.594,2.73,300,
11,11,1,79.0,OPTIMAL,14.451,14.59,300,
12,12,1,54.0,OPTIMAL,7.789,7.94,300,
13,13,2,103.0,FEASIBLE,300.238,300.46,300,
14,14,1,50.0,OPTIMAL,27.912,28.10,300,
15,15,2,106.0,FEASIBLE,300.361,300.63,300,
16,16,2,112.99999999999999,FEASIBLE,300.502,300.84,300,
17,17,2,105.0,FEASIBLE,300.531,300.89,300,
18,18,2,131.0,FEASIBLE,300.627,301.00,300,
19,19,2,106.0,FEASIBLE,300.793,301.18,300,
20,20,7,465.99999999999994,FEASIBLE,301.381,301.79,300,
21,21,3,210.0,FEASIBLE,301.097,301.56,300,
22,22,10,623.0,FEASIBLE,301.103,301.60,300,
23,23,14,1108.0,FEASIBLE,301.401,301.91,300,
24,24,5,356.0,FEASIBLE,301.528,302.13,300,
25,25,22,1601.0,FEASIBLE,301.892,302.49,300,
26,26,9,622.0,FEASIBLE,301.904,302.68,300,
27,27,,,NO SOLUTION FOUND,,303.00,300,
28,28,16,1190.0,FEASIBLE,304.231,305.03,300,
29,29,18,1415.0,FEASIBLE,303.35,304.21,300,
30,30,29,2144.0,FEASIBLE,302.827,303.76,300,
31,31,30,2249.0,FEASIBLE,304.445,305.47,300,
32,32,17,1224.0,FEASIBLE,307.328,308.43,300,
33,33,20,1429.0,FEASIBLE,308.219,309.46,300,
34,34,11,803.0,FEASIBLE,304.425,305.72,300,
35,35,22,1723.0,FEASIBLE,307.811,309.20,300,
36,36,36,2795.0,FEASIBLE,312.02,313.49,300,
37,37,23,1750.0,FEASIBLE,312.203,313.84,300,
38,38,15,1193.0,FEASIBLE,310.456,312.22,300,
39,39,38,2895.0,FEASIBLE,308.842,310.72,300,
40,40,39,2964.0,FEASIBLE,310.981,312.94,300,
41,41,17,1304.0,FEASIBLE,315.081,317.34,300,
42,42,41,3115.0,FEASIBLE,314.239,316.55,300,
43,43,42,3178.0,FEASIBLE,314.721,317.32,300,
44,44,26,2030.0,FEASIBLE,316.291,319.13,300,
45,45,,,NO SOLUTION FOUND,,313.64,300,
46,46,,,NO SOLUTION FOUND,,315.81,300,
47,47,,,NO SOLUTION FOUND,,314.37,300,
48,48,,,NO SOLUTION FOUND,,315.57,300,
49,49,,,NO SOLUTION FOUND,,316.65,300,
50,50,,,NO SOLUTION FOUND,,317.66,300,
51,51,,,NO SOLUTION FOUND,,318.85,300,
52,52,,,NO SOLUTION FOUND,,319.88,300,
53,53,,,NO SOLUTION FOUND,,321.40,300,
54,54,,,NO SOLUTION FOUND,,322.58,300,
90,90,,,NO SOLUTION FOUND,,131.38,300,
120,120,,,NO SOLUTION FOUND,,179.86,300,
150,150,,,NO SOLUTION FOUND,,330.24,300,
180,180,,,NO SOLUTION FOUND,,554.67,300,
210,210,,,NO SOLUTION FOUND,,748.84,300,
240,240,,,NO SOLUTION FOUND,,755.13,300,
270,270,,,NO SOLUTION FOUND,,766.71,300,
300,300,,,NO SOLUTION FOUND,,761.49,300,
330,330,,,NO SOLUTION FOUND,,769.33,300,
360,360,,,NO SOLUTION FOUND,,775.87,300,
550,550,,,NO SOLUTION FOUND,,774.37,300,
600,600,,,NO SOLUTION FOUND,,761.18,300,
